# Samples: 8K of event 'instructions'
# Event count (approx.): 555386358179
#
# Overhead       Samples  Symbol                                        IPC   [IPC Coverage]
# ........  ............  ............................................  ....................
#
    36.35%          2526  [.] spdk_nvme_qpair_process_completions       -      -            
    31.93%          2219  [.] nvme_pcie_qpair_process_completions       -      -            
     8.43%           586  [.] spdk_fio_getevents                        -      -            
     6.55%           455  [.] nvme_transport_qpair_process_completions  -      -            
     2.95%           205  [.] spdk_nvme_qpair_process_completions       -      -            
     2.39%           166  [.] _nvme_qpair_complete_abort_queued_reqs    -      -            
     2.19%           153  [.] nvme_pcie_qpair_process_completions       -      -            
     1.44%           100  [.] 0x0000000000044910                        -      -            
     0.71%            49  [.] __fio_gettime                             -      -            
     0.65%            46  [.] spdk_fio_getevents                        -      -            
     0.59%            42  [.] nvme_transport_qpair_process_completions  -      -            
     0.55%            38  [.] 0x0000000000044914                        -      -            
     0.35%            24  [.] get_io_u                                  -      -            
     0.35%            24  [.] td_io_queue                               -      -            
     0.32%            22  [.] 0x0000000000044940                        -      -            
     0.26%            18  [.] _nvme_qpair_complete_abort_queued_reqs    -      -            
     0.23%            16  [.] get_next_rand_offset                      -      -            
     0.22%            15  [.] add_slat_sample                           -      -            
     0.20%            14  [.] __get_io_u                                -      -            
     0.19%            13  [.] nvme_pcie_qpair_submit_request            -      -            
     0.19%            13  [.] thread_main                               -      -            
     0.19%            13  [.] account_io_completion                     -      -            
     0.17%            12  [.] spdk_fio_queue                            -      -            
     0.16%            11  [.] spdk_vtophys                              -      -            
     0.14%            10  [.] put_io_u                                  -      -            
     0.14%            10  [.] _nvme_ns_cmd_rw                           -      -            
     0.12%             8  [.] io_completed                              -      -            
     0.12%             8  [.] nvme_pcie_qpair_complete_tracker          -      -            
     0.12%             8  [.] io_u_mark_submit                          -      -            
     0.10%             7  [.] td_io_prep                                -      -            
     0.09%             6  [.] io_u_queued_complete                      -      -            
     0.09%             6  [.] ntime_since                               -      -            
     0.07%             8  [k] link_path_walk.part.0.constprop.0         -      -            
     0.07%             5  [.] add_lat_sample                            -      -            
     0.07%             5  [.] __get_next_rand_offset.constprop.0        -      -            
     0.07%             5  [.] add_clat_sample                           -      -            
     0.07%             5  [.] nvme_pcie_qpair_submit_tracker            -      -            
     0.07%             5  [.] nvme_pcie_qpair_build_contig_request      -      -            
     0.06%             9  [.] rte_eal_alarm_cancel                      -      -            
     0.06%             4  [.] utime_since_now                           -      -            
     0.06%             4  [.] td_io_getevents                           -      -            
     0.06%             4  [.] log_io_u                                  -      -            
     0.06%             4  [.] put_file_log                              -      -            
     0.06%             4  [.] _nvme_qpair_submit_request                -      -            
     0.06%             4  [.] io_u_mark_complete                        -      -            
     0.05%             8  [.] 0x00000000000006b8                        -      -            
     0.04%             3  [.] io_u_mark_depth                           -      -            
     0.04%             3  [.] ramp_time_over                            -      -            
     0.04%             3  [.] fio_gettime                               -      -            
     0.04%             3  [.] nvme_qpair_resubmit_requests              -      -            
     0.04%             3  [.] put_file                                  -      -            
     0.03%             2  [.] spdk_vtophys                              -      -            
     0.03%             2  [.] spdk_fio_queue                            -      -            
     0.03%             2  [.] zbd_unaligned_write                       -      -            
     0.03%             2  [.] __tls_get_addr                            -      -            
     0.02%             4  [.] calibrate_cpu_clock                       -      -            
     0.02%             1  [.] 0x000000000008d20d                        -      -            
     0.01%             1  [.] nvme_pcie_qpair_build_contig_request      -      -            
     0.01%             1  [.] 0x0000000000043bd4                        -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_tracker            -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            -      -            
     0.01%             1  [.] spdk_nvme_ns_cmd_read_with_md             -      -            
     0.01%             1  [.] spdk_fio_event                            -      -            
     0.01%             1  [.] spdk_fio_event                            -      -            
     0.01%             1  [.] spdk_fio_completion_cb                    -      -            
     0.01%             1  [.] nvme_qpair_submit_request                 -      -            
     0.01%             1  [.] spdk_nvme_ns_get_extended_sector_size     -      -            
     0.01%             1  [.] io_u_queued                               -      -            
     0.01%             1  [.] get_next_rand_block                       -      -            
     0.01%             1  [.] queue_full                                -      -            
     0.01%             1  [.] get_file                                  -      -            
     0.01%             1  [.] in_ramp_time                              -      -            
     0.01%             1  [.] 0x00000000000458d0                        -      -            
     0.01%             1  [.] lock_file                                 -      -            
     0.01%             1  [.] 0x0000000000040530                        -      -            
     0.01%             1  [.] 0x0000000000047a74                        -      -            
     0.01%             1  [k] __cond_resched                            -      -            
     0.01%             1  [k] fault_dirty_shared_page                   -      -            
     0.00%             1  [k] release_pages                             -      -            
     0.00%             1  [k] current_time                              -      -            
     0.00%             1  [.] 0x00000000001b1dbd                        -      -            
     0.00%             1  [k] _raw_spin_lock_irq                        -      -            
     0.00%             1  [.] 0x0000000000047ba9                        -      -            
     0.00%            28  [k] psi_group_change                          -      -            
     0.00%             7  [k] dequeue_entity                            -      -            
     0.00%             8  [k] put_prev_entity                           -      -            
