# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 171843223703
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                  IPC   [IPC Coverage]
# ........  ............  ............................................  ...........................................................................................  ....................
#
    24.00%          1702  [.] account_io_completion                     /home/zebin/fio/io_u.c:1875                                                                  -      -            
     8.02%           569  [.] account_io_completion                     /home/zebin/fio/io_u.c:1891                                                                  -      -            
     5.00%           355  [.] __fio_gettime                             /home/zebin/fio/gettime.c:159                                                                -      -            
     3.04%           216  [.] __fio_gettime                             /home/zebin/fio/arch/arch-x86_64.h:34                                                        -      -            
     2.67%           189  [.] __fio_gettime                             /home/zebin/fio/gettime.c:208                                                                -      -            
     2.14%           152  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:892                                    -      -            
     1.68%           119  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1040                         -      -            
     1.58%           112  [.] put_io_u                                  /home/zebin/fio/io_u.c:795                                                                   -      -            
     1.23%            87  [.] ntime_since                               /home/zebin/fio/gettime.c:433                                                                -      -            
     1.18%            84  [.] rte_eal_alarm_cancel                      ??:0                                                                                         -      -            
     1.13%            80  [.] nvme_pcie_qpair_submit_tracker            /usr/lib/gcc/x86_64-linux-gnu/11/include/emmintrin.h:1510                                    -      -            
     1.10%            78  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:227                          -      -            
     1.03%            73  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:80                                                                    -      -            
     0.96%            68  [.] __fio_gettime                             /home/zebin/fio/gettime.c:206                                                                -      -            
     0.68%            48  [.] add_lat_sample                            /home/zebin/fio/stat.c:2844                                                                  -      -            
     0.65%            46  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1647                                   -      -            
